Year,Typ,State,Jurisdiction,Full Jurisdiction,Taps
2011,State,ARIZONA,MARICOPA,"ARIZONA, MARICOPA",21
2011,State,ARIZONA,PIMA,"ARIZONA, PIMA",40
2011,State,CALIFORNIA,BUTTE,"CALIFORNIA, BUTTE",4
2011,State,CALIFORNIA,CONTRA COSTA,"CALIFORNIA, CONTRA COSTA",1
2011,State,CALIFORNIA,IMPERIAL,"CALIFORNIA, IMPERIAL",39
2011,State,CALIFORNIA,KERN,"CALIFORNIA, KERN",8
2011,State,CALIFORNIA,LOS ANGELES,"CALIFORNIA, LOS ANGELES",180
2011,State,CALIFORNIA,MERCED,"CALIFORNIA, MERCED",16
2011,State,CALIFORNIA,ORANGE,"CALIFORNIA, ORANGE",26
2011,State,CALIFORNIA,PLACER,"CALIFORNIA, PLACER",1
2011,State,CALIFORNIA,RIVERSIDE,"CALIFORNIA, RIVERSIDE",154
2011,State,CALIFORNIA,SACRAMENTO,"CALIFORNIA, SACRAMENTO",9
2011,State,CALIFORNIA,SAN BERNARDINO,"CALIFORNIA, SAN BERNARDINO",76
2011,State,CALIFORNIA,SAN DIEGO,"CALIFORNIA, SAN DIEGO",43
2011,State,CALIFORNIA,SAN JOAQUIN,"CALIFORNIA, SAN JOAQUIN",8
2011,State,CALIFORNIA,SAN LUIS OBISPO,"CALIFORNIA, SAN LUIS OBISPO",2
2011,State,CALIFORNIA,SAN MATEO,"CALIFORNIA, SAN MATEO",3
2011,State,CALIFORNIA,SANTA BARBARA,"CALIFORNIA, SANTA BARBARA",11
2011,State,CALIFORNIA,SANTA CLARA,"CALIFORNIA, SANTA CLARA",19
2011,State,CALIFORNIA,SONOMA,"CALIFORNIA, SONOMA",4
2011,State,CALIFORNIA,STANISLAUS,"CALIFORNIA, STANISLAUS",4
2011,State,CALIFORNIA,VENTURA,"CALIFORNIA, VENTURA",22
2011,State,COLORADO,1ST JUDICIAL DISTRICT (JEFFERSON),"COLORADO, 1ST JUDICIAL DISTRICT (JEFFERSON)",4
2011,State,COLORADO,4TH JUDICIAL DISTRICT (EL PASO),"COLORADO, 4TH JUDICIAL DISTRICT (EL PASO)",35
2011,State,COLORADO,10TH JUDICIAL DISTRICT (PUEBLO),"COLORADO, 10TH JUDICIAL DISTRICT (PUEBLO)",15
2011,State,COLORADO,17TH JUDICIAL DISTRICT (ADAMS),"COLORADO, 17TH JUDICIAL DISTRICT (ADAMS)",2
2011,State,COLORADO,18TH JUDICIAL DISTRICT (ARAPAHOE),"COLORADO, 18TH JUDICIAL DISTRICT (ARAPAHOE)",1
2011,State,COLORADO,20TH JUDICIAL DISTRICT (BOULDER),"COLORADO, 20TH JUDICIAL DISTRICT (BOULDER)",2
2011,State,COLORADO,21ST JUDICIAL DISTRICT (MESA),"COLORADO, 21ST JUDICIAL DISTRICT (MESA)",3
2011,State,COLORADO,STATE ATTORNEY GENERAL,"COLORADO, STATE ATTORNEY GENERAL",12
2011,State,FLORIDA,2ND JUDICIAL CIRCUIT (LEON),"FLORIDA, 2ND JUDICIAL CIRCUIT (LEON)",4
2011,State,FLORIDA,4TH JUDICIAL CIRCUIT (DUVAL),"FLORIDA, 4TH JUDICIAL CIRCUIT (DUVAL)",49
2011,State,FLORIDA,5TH JUDICIAL CIRCUIT (LAKE/MARION),"FLORIDA, 5TH JUDICIAL CIRCUIT (LAKE/MARION)",10
2011,State,FLORIDA,7TH JUDICIAL CIRCUIT (VOLUSIA),"FLORIDA, 7TH JUDICIAL CIRCUIT (VOLUSIA)",13
2011,State,FLORIDA,8TH JUDICIAL CIRCUIT (ALACHUA),"FLORIDA, 8TH JUDICIAL CIRCUIT (ALACHUA)",4
